code,name,province,city,area,town
120113,天津风电产业园,12,01,13,404000
120113,红旗农场,12,01,13,500000
120113,曙光农场,12,01,13,501000
120114,杨村街道,12,01,14,001000
120114,下朱庄街道,12,01,14,002000
120114,东蒲洼街道,12,01,14,003000
120114,黄庄街道,12,01,14,004000
120114,徐官屯街道,12,01,14,005000
120114,运河西街道,12,01,14,006000
120114,梅厂镇,12,01,14,101000
120114,大碱厂镇,12,01,14,102000
120114,崔黄口镇,12,01,14,103000
120114,大良镇,12,01,14,104000
120114,下伍旗镇,12,01,14,105000
120114,南蔡村镇,12,01,14,106000
120114,大孟庄镇,12,01,14,107000
120114,泗村店镇,12,01,14,108000
120114,河西务镇,12,01,14,109000
120114,城关镇,12,01,14,110000
120114,东马圈镇,12,01,14,111000
120114,黄花店镇,12,01,14,112000
120114,石各庄镇,12,01,14,113000
120114,王庆坨镇,12,01,14,114000
120114,汊沽港镇,12,01,14,115000
120114,河北屯镇,12,01,14,116000
120114,上马台镇,12,01,14,117000
120114,大王古庄镇,12,01,14,118000
120114,陈咀镇,12,01,14,119000
120114,豆张庄镇,12,01,14,120000
120114,曹子里镇,12,01,14,121000
120114,大黄堡镇,12,01,14,122000
120114,高村镇,12,01,14,123000
120114,白古屯镇,12,01,14,124000
120114,天津经济技术开发区逸仙科学工业园,12,01,14,400000
120114,武清经济技术开发区,12,01,14,401000
120114,天津京滨工业园,12,01,14,403000
120114,天津京津电子商务产业园,12,01,14,404000
120114,天津武清汽车产业园,12,01,14,405000
120114,天津京津科技谷,12,01,14,406000
120114,京津高村科技创新园,12,01,14,407000
120115,海滨街道,12,01,15,001000
120115,宝平街道,12,01,15,002000
120115,钰华街道,12,01,15,003000
120115,周良街道,12,01,15,006000
120115,潮阳街道,12,01,15,007000
120115,朝霞街道,12,01,15,008000
120115,大口屯镇,12,01,15,101000
120115,王卜庄镇,12,01,15,103000
120115,方家庄镇,12,01,15,104000
120115,林亭口镇,12,01,15,105000
120115,八门城镇,12,01,15,106000
120115,大钟庄镇,12,01,15,107000
120115,新安镇,12,01,15,108000
120115,霍各庄镇,12,01,15,111000
120115,新开口镇,12,01,15,113000
120115,大唐庄镇,12,01,15,115000
120115,牛道口镇,12,01,15,119000
120115,史各庄镇,12,01,15,120000
120115,郝各庄镇,12,01,15,121000
120115,牛家牌镇,12,01,15,123000
120115,尔王庄镇,12,01,15,124000
120115,黄庄镇,12,01,15,125000
120115,口东镇,12,01,15,126000
120115,大白庄镇,12,01,15,127000
120115,宝坻经济开发区,12,01,15,456000
120115,京津中关村科技城,12,01,15,457000
120116,塘沽街道,12,01,16,001000
120116,杭州道街道,12,01,16,005000
120116,新河街道,12,01,16,006000
120116,大沽街道,12,01,16,007000
120116,新北街道,12,01,16,008000
120116,北塘街道,12,01,16,009000
120116,胡家园街道,12,01,16,011000
120116,新港街道,12,01,16,012000
120116,新村街道,12,01,16,013000
120116,天津经济技术开发区东区泰达街道,12,01,16,014000
120116,汉沽街道,12,01,16,031000
120116,寨上街道,12,01,16,032000
120116,茶淀街道,12,01,16,033000
120116,大港街道,12,01,16,051000
120116,古林街道,12,01,16,053000
120116,海滨街道,12,01,16,054000
120116,新城镇,12,01,16,100000
120116,杨家泊镇,12,01,16,135000
120116,太平镇,12,01,16,156000
120116,小王庄镇,12,01,16,157000
120116,中塘镇,12,01,16,158000
120116,天津经济技术开发区（其他片区）,12,01,16,400000
120116,天津港保税区,12,01,16,401000
120116,天津滨海新区高新技术产业开发区,12,01,16,402000
120116,东疆保税港区,12,01,16,403000
120116,中新天津生态城,12,01,16,406000
120117,芦台街道,12,01,17,001000
120117,桥北街道,12,01,17,002000
120117,宁河镇,12,01,17,102000
120117,苗庄镇,12,01,17,103000
120117,丰台镇,12,01,17,104000
120117,岳龙镇,12,01,17,105000
120117,板桥镇,12,01,17,106000
120117,潘庄镇,12,01,17,107000
120117,造甲城镇,12,01,17,109000
120117,七里海镇,12,01,17,110000
120117,大北涧沽镇,12,01,17,111000
120117,东棘坨镇,12,01,17,112000
120117,北淮淀镇,12,01,17,113000
120117,俵口镇,12,01,17,114000
120117,廉庄镇,12,01,17,115000
120117,宁河区贸易开发区,12,01,17,400000
120117,宁河区经济开发区,12,01,17,401000
120117,天津未来科技城天津经济技术开发区片区,12,01,17,402000
120117,天津未来科技城滨海高新区片区,12,01,17,403000
120117,天津未来科技城宁河片区现代产业区组团,12,01,17,451000
120117,天津未来科技城宁河片区潘庄工业区组团,12,01,17,452000
120117,天津未来科技城宁河片区北淮淀组团,12,01,17,453000
120118,华康街道,12,01,18,001000
120118,朝阳街道,12,01,18,002000
120118,静海镇,12,01,18,100000
120118,唐官屯镇,12,01,18,101000
120118,独流镇,12,01,18,102000
120118,王口镇,12,01,18,103000
120118,台头镇,12,01,18,104000
120118,子牙镇,12,01,18,105000
120118,陈官屯镇,12,01,18,106000
120118,中旺镇,12,01,18,107000
120118,大邱庄镇,12,01,18,108000
120118,蔡公庄镇,12,01,18,109000
120118,梁头镇,12,01,18,110000
120118,团泊镇,12,01,18,111000
120118,双塘镇,12,01,18,112000
120118,大丰堆镇,12,01,18,113000
120118,沿庄镇,12,01,18,114000
120118,西翟庄镇,12,01,18,115000
120118,良王庄乡,12,01,18,200000
120118,杨成庄乡,12,01,18,201000
120118,天津静海经济开发区,12,01,18,400000
120118,天津子牙循环经济产业区,12,01,18,402000
120118,团泊新城,12,01,18,403000
120119,文昌街道,12,01,19,001000
120119,渔阳镇,12,01,19,100000
120119,洇溜镇,12,01,19,101000
120119,官庄镇,12,01,19,102000
120119,马伸桥镇,12,01,19,103000
120119,下营镇,12,01,19,104000
120119,邦均镇,12,01,19,105000
120119,别山镇,12,01,19,106000
120119,尤古庄镇,12,01,19,108000
120119,上仓镇,12,01,19,109000
120119,下仓镇,12,01,19,111000
120119,罗庄子镇,12,01,19,112000
120119,白涧镇,12,01,19,113000
120119,侯家营镇,12,01,19,115000
120119,桑梓镇,12,01,19,116000
120119,东施古镇,12,01,19,117000
120119,下窝头镇,12,01,19,118000
120119,杨津庄镇,12,01,19,119000
120119,出头岭镇,12,01,19,120000
120119,西龙虎峪镇,12,01,19,121000
120119,穿芳峪镇,12,01,19,122000
120119,东二营镇,12,01,19,123000
120119,许家台镇,12,01,19,124000
120119,礼明庄镇,12,01,19,125000
120119,东赵各庄镇,12,01,19,126000
120119,州河湾镇,12,01,19,127000
120119,孙各庄乡,12,01,19,203000
120119,天津市蓟州区京津州河科技产业园管理委员会,12,01,19,401000
130102,建北街道,13,01,02,001000
130102,青园街道,13,01,02,002000
130102,广安街道,13,01,02,003000
130102,育才街道,13,01,02,004000
130102,跃进街道,13,01,02,005000
130102,河东街道,13,01,02,007000
130102,长丰街道,13,01,02,010000
130102,谈固街道,13,01,02,011000
130102,中山东路街道,13,01,02,012000
